,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_45,Price_RoC_60,MACD,Signal_Line,Price_RoC_30,Std_Dev_RoC_10,Price_RoC_15,RS,Price_RoC_12,RSI,Price_RoC_10,Std_Dev_RoC_5,Price_RoC_7,Price_RoC_5,Z_Score,Rolling_Std,Price_RoC_3,Price_Delta,Log_Returns,Price_RoC,Sin_Close,Expanding_Mean,Loss,Gain,Cos_Close,Tan_Close
10,0.18,0.18,0.09,0.05,0.36,0.17,0.53,0.16,0.13,0.09,0.23,0.08,0.07,0.07,0.05,0.04,0.05,,,,,,0.47,,0.63,,0.45,,0.65,,,,0.6,,,,,,,2.6,1.4,100.72,
11,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,0.03,0.11,0.03,0.04,0.04,0.07,0.04,0.16,,,,,,0.37,,0.77,,0.5,,1.2,,44.16,,1.26,,,,,,0.01,0.99,2.1,,1.34
12,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.01,0.01,0.01,0.01,,,,0.02,0.01,,,,,,0.8,,0.4,,0.17,10.55,0.39,,,9.08,0.28,,73.16,72.19,42.12,,,1.48,1.3,,2.74
13,0.03,0.03,0.02,0.01,0.06,0.03,0.1,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,,,,,0.22,,0.47,,0.2,,0.31,,6.55,9671.97,0.37,4.06,4.19,4.32,4.12,,,1.91,1.32,,2.68
14,0.02,0.02,0.01,0.01,0.04,0.02,0.06,0.02,0.02,0.02,0.06,0.02,0.03,0.03,0.02,0.01,0.02,,,1.39,,0.27,0.34,0.25,0.3,0.19,0.08,0.35,0.35,0.72,1.13,0.51,0.39,1.65,3.17,3.2,3.12,7.21,,2.26,0.98,0.11,6.0
15,0.04,0.04,0.02,0.01,0.07,0.04,0.11,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,,,0.5,,0.59,0.2,0.24,0.17,2.39,0.85,,0.32,,0.52,,,,0.21,,,,,,,0.92,2.07,0.41,
16,0.02,0.02,0.01,0.01,0.04,0.02,0.07,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,0.3,0.5,1.35,0.22,0.74,0.14,,0.35,,0.2,6.21,0.35,1.4,2.14,1.45,0.17,2.61,2.32,2.26,2.23,,,1.78,0.83,0.21,
17,0.02,0.02,0.01,0.01,0.04,0.02,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.17,0.17,0.33,0.33,0.49,0.32,0.37,0.28,0.43,0.09,0.47,0.37,0.8,0.64,0.38,0.16,0.63,1.98,1.98,1.97,0.32,,1.67,0.97,0.91,
18,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,,0.58,0.18,0.2,0.07,0.48,0.19,0.7,0.53,1.05,0.18,1.57,0.54,8.02,,65.46,0.15,,,,,0.06,,2.76,1.09,4.34,
19,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.32,0.16,0.25,0.15,0.22,0.23,0.34,0.36,0.74,0.11,0.7,0.38,0.68,0.51,0.46,0.25,0.81,1.81,1.8,1.78,1.58,,1.62,0.91,,4.63
20,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.13,0.13,0.12,0.13,0.11,0.12,0.28,0.19,0.05,0.33,0.22,0.39,0.54,0.33,0.22,0.84,1.32,1.33,1.33,,,2.87,1.01,,18.43
21,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.23,0.03,0.02,0.18,0.22,0.21,0.31,0.34,0.06,0.41,0.38,0.69,0.89,0.53,0.36,2.15,7.13,7.21,6.89,,,2.31,1.21,0.34,
22,0.01,0.01,,,0.02,0.01,0.03,0.01,,,,,,,,0.01,,0.12,0.17,0.25,0.17,0.34,0.14,1.84,0.38,35.22,0.18,,0.23,,,,0.12,,,,,,,1.18,2.63,0.26,
23,0.01,0.01,0.01,,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.33,0.2,0.81,0.4,2.07,0.2,,0.23,,0.15,,0.31,,,,0.09,,,,,,,1.94,1.55,0.97,
24,0.02,0.02,0.01,0.01,0.04,0.02,0.06,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,1.13,0.18,,,,0.13,,0.24,,0.15,,0.43,,,,0.29,,,,,,,1.94,1.46,,
25,0.01,0.01,,,0.01,0.01,0.02,,0.01,,,,,,,,,,0.29,,,,0.23,1.48,0.17,,0.09,1.6,0.39,0.41,0.56,0.44,0.04,1.91,,,,,,1.15,1.57,0.87,2.5
