,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Inverse,Close_Cubed,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,RSI,Price_RoC_15,Price_RoC_12,Std_Dev_RoC_10,Price_RoC_10,RS,Std_Dev_RoC_5,Z_Score,Price_RoC_7,Price_RoC_5,Cos_Close,Price_RoC_3,Gain,Rolling_Std,Price_Delta,Price_RoC,Log_Returns,Loss,Sin_Close,Tan_Close
10,0.03,0.03,0.01,0.01,0.06,0.02,0.03,0.09,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,,0.2,0.17,0.23,0.33,0.63,0.23,,,0.26,40.74,0.41,0.34,5.62,2.25,1.69,,3.49,1.72,0.28,5.59,5.39,5.66,1.69,0.45,
11,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,,0.13,0.7,0.29,0.63,8.7,0.15,1.55,4.17,0.31,,0.33,0.27,,,,,,1.08,0.24,,,,1.55,0.44,
12,0.01,0.01,,,0.01,,0.01,0.02,,,0.02,,0.01,0.01,,,,,0.25,0.43,0.08,0.1,0.93,0.17,2.0,1.13,0.18,0.66,0.42,0.32,1.14,0.89,1.44,,2.35,1.32,0.33,,,,1.51,0.28,
13,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,,0.83,,1.6,,,0.29,,,0.27,,0.55,0.48,,,,,,1.37,0.38,,,,1.63,0.16,2.8
14,0.02,0.02,0.01,0.01,0.04,0.01,0.02,0.05,0.01,0.01,,0.01,0.01,0.01,,,0.01,,9.67,1.09,,,1.16,0.27,4.49,1.39,0.24,0.78,0.58,0.45,1.12,0.85,1.2,,1.94,1.39,0.34,3.93,3.89,3.97,2.07,0.52,
15,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.07,0.02,0.01,0.02,0.01,0.01,0.01,,,,,1.37,,0.96,7.0,,0.22,,,0.55,,0.39,0.34,,,,,,2.62,0.25,,,,1.14,0.25,3.04
16,0.01,0.01,,,0.02,0.01,0.01,0.03,,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,,,,,,,0.21,,,0.36,,0.37,0.27,,,,0.42,10.26,0.84,0.42,3.74,3.69,3.76,1.83,0.15,1.12
17,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.07,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,,1.6,2.49,,4.34,25.71,0.13,0.66,0.56,0.1,0.5,0.32,0.31,0.48,0.35,0.63,,1.1,0.63,0.16,2.41,2.37,2.45,3.0,0.75,
18,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,0.75,0.29,0.29,0.15,0.61,0.12,0.56,0.79,0.16,1.52,0.32,0.53,,2.49,44.12,,,2.25,0.35,,,,1.4,2.24,
19,0.03,0.03,0.01,0.01,0.05,0.03,0.03,0.07,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.03,,0.24,0.53,0.23,0.33,0.24,0.1,0.32,0.7,0.11,0.71,0.28,0.35,0.53,0.8,0.72,,0.72,0.88,0.31,1.24,1.24,1.24,2.72,,1730.18
20,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.06,0.02,0.01,0.01,,0.01,0.01,0.01,,,,0.43,0.17,0.14,0.36,0.46,0.2,0.77,2.38,0.3,14.73,0.57,0.34,,,,,,1.48,0.22,,,,1.05,,2.61
21,0.02,0.02,0.01,0.01,0.05,0.03,0.02,0.07,0.03,0.02,0.03,0.02,0.03,0.03,0.01,0.02,0.03,,0.29,0.1,0.22,0.28,0.32,0.14,0.61,0.64,0.22,0.54,0.41,0.58,0.29,0.4,0.38,0.37,0.75,0.86,0.19,1.64,1.61,1.62,1.66,3.32,3.79
22,0.01,0.01,0.01,,0.02,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.07,0.13,0.03,0.1,0.27,0.12,0.47,0.77,0.26,0.88,0.43,0.29,1.58,1.75,2.72,0.5,4.43,1.25,0.33,10.9,10.38,11.05,2.27,0.26,1.05
23,0.16,0.16,0.08,0.05,0.31,0.14,0.16,0.45,0.11,0.07,0.19,0.06,0.05,0.05,0.03,0.03,0.06,,6.55,,1.46,,,0.55,,,0.88,,0.75,0.92,,,,0.96,,1.56,0.91,,,,2.19,17.59,
24,0.01,0.01,,,0.02,0.01,0.01,0.02,0.01,0.03,0.11,0.03,0.05,0.05,0.07,0.03,0.17,,,,,,,0.4,,,0.36,,0.61,0.93,27.93,,,0.51,3.88,1.56,1.1,142.82,81.05,143.92,1.4,,
25,0.01,0.01,0.01,,0.03,,0.01,0.04,,,,,,,,0.01,,,,,,,,0.14,,1.35,0.19,2.43,0.29,0.07,,,,0.9,16.84,0.8,0.04,8.54,8.18,8.66,2.0,,3.98
