,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Moving_Average_5,Close_Inverse,Close_Cubed,EMA,Short_EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Price_RoC_15,Price_RoC_12,RS,Price_RoC_10,RSI,Price_RoC_7,Std_Dev_RoC_10,Price_RoC_5,Z_Score,Std_Dev_RoC_5,Gain,Price_RoC_3,Cos_Close,Tan_Close,Price_Delta,Log_Returns,Price_RoC,Loss,Rolling_Std,Sin_Close
10,0.11,0.11,0.05,0.02,0.23,0.1,0.1,0.09,0.36,0.06,0.05,0.14,0.05,0.05,0.03,0.03,0.04,,0.7,2.03,1.07,,,,,1.34,,0.65,,0.29,,,0.47,1.57,,,2.77,,,,2.55,0.44,1.54
11,0.02,0.02,0.01,,0.03,0.01,0.01,0.02,0.05,0.02,0.02,0.03,0.01,0.01,0.04,0.02,0.05,,1.26,,,,,,,0.67,,0.51,,0.31,,,0.83,0.92,,,8.54,,,,1.9,1.01,7.59
12,0.02,0.02,0.01,,0.03,0.01,0.01,0.02,0.05,,,0.01,0.01,0.01,,0.01,0.01,,,,,,,0.98,1.64,0.17,1.43,0.07,3.02,0.15,28.27,5.87,0.54,1.7,,,2.53,,,,1.34,0.06,
13,0.04,0.04,0.02,0.01,0.08,0.04,0.03,0.04,0.12,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.01,,,,,,,,,0.77,,0.6,,0.17,,,0.42,1.83,,278.54,,,,,0.99,0.27,
14,0.03,0.03,0.01,,0.06,0.03,0.02,0.03,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,,,,,,,,,0.9,17.07,0.49,2.11,0.55,0.89,1.22,0.42,1.24,1.24,,4.5,4.14,4.01,3.88,2.96,0.38,
15,0.04,0.04,0.02,0.01,0.08,0.03,0.03,0.04,0.12,0.02,0.02,0.03,0.01,0.01,0.01,0.01,,,,,,,,,,0.54,,0.28,,0.27,,,0.4,1.73,,4.52,,,,,1.04,0.29,
16,0.19,0.19,0.09,0.03,0.41,0.18,0.17,0.15,0.66,0.12,0.11,0.33,0.13,0.13,0.09,0.07,0.08,0.01,,,,,,,,0.29,,0.23,,0.32,,,0.65,1.37,,,,,,,3.01,0.38,
17,0.02,0.02,0.01,,0.03,0.02,0.02,0.02,0.05,,0.01,0.1,0.02,0.02,0.05,0.03,0.08,,,,,,,,,1.11,13.3,0.59,0.55,0.35,0.58,0.59,1.42,1.12,1.15,2.51,,3.81,3.76,3.64,1.82,0.93,1.45
18,0.02,0.02,0.01,,0.04,0.02,0.02,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,,,,,,,0.28,0.25,0.17,0.48,0.06,0.7,0.95,1.19,0.64,0.23,1.06,1.29,,,3.19,3.2,3.13,2.1,0.17,
19,0.03,0.03,0.02,0.01,0.07,0.04,0.04,0.03,0.1,0.03,0.03,0.02,0.03,0.03,0.03,0.01,0.05,,,,,,1.83,0.33,0.25,0.39,0.23,0.1,0.45,0.18,0.65,0.39,0.44,1.18,0.94,,228.01,1.93,1.9,1.89,2.12,0.34,2.47
20,0.02,0.02,0.01,,0.05,0.02,0.02,0.02,0.07,0.01,,0.02,0.01,0.01,0.01,,0.01,,,,0.3,0.32,0.29,0.88,2.11,0.68,5.78,0.26,,0.41,,,0.41,1.77,,,4.52,,,,2.1,0.43,
21,0.02,0.02,0.01,,0.03,0.02,0.01,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,,0.35,0.74,5.87,0.5,,,0.24,,0.14,,0.29,,,0.29,1.73,,4.51,3.13,,,,0.82,0.11,
22,0.01,0.01,0.01,,0.02,0.01,,0.01,0.04,,,,,,0.01,,,,2.08,0.21,,,,,,0.36,,0.19,11.75,0.1,5.52,7.86,0.39,1.09,5.38,5.72,13.65,12.47,12.49,11.54,1.84,0.16,
23,0.02,0.02,0.01,,0.04,0.02,0.02,0.02,0.07,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.47,,,,,,,0.16,,0.09,,0.28,,,0.23,1.48,,3.57,,,,,1.29,0.15,5.88
24,0.02,0.02,0.01,,0.04,0.01,0.01,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,,,,,,,,0.14,,0.08,,0.15,,,0.25,1.4,,3.52,66.42,,,,1.45,0.18,
25,0.01,0.01,0.01,,0.02,0.01,0.02,0.01,0.04,0.01,0.01,,,,,,0.01,,,,,,,4.11,0.56,0.23,0.3,0.12,0.88,0.13,0.33,0.14,0.13,0.4,0.27,5.54,1.68,0.4,0.42,0.42,,0.16,7.61
