,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Price_RoC_45,Cos_Close,Signal_Line,Sin_Close,MACD,Price_RoC_30,Std_Dev_RoC_10,RSI,Price_RoC_15,RS,Price_RoC_12,Price_RoC_10,Std_Dev_RoC_5,Price_RoC_7,Z_Score,Price_RoC_5,Price_RoC_3,Tan_Close,Expanding_Mean,Rolling_Std,Log_Returns,Price_RoC,Price_Delta,Loss,Gain
10,0.02,0.02,0.01,0.01,0.04,0.02,0.06,0.02,0.02,,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.16,0.4,0.82,0.06,,0.21,0.12,0.26,0.16,0.8,0.36,1.42,3.51,0.45,,,,,2.1,,0.29,,,,1.16,1.77
11,0.02,0.02,0.01,0.01,0.04,0.02,0.05,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.01,0.05,0.37,0.8,,0.88,,,0.5,0.44,0.25,,0.36,,,0.28,,,,,0.39,,0.34,,,,1.58,1.24
12,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.4,0.17,,1.44,,0.93,,0.39,0.16,1.23,0.42,0.66,0.25,0.27,0.81,0.97,1.49,2.18,2.35,,0.22,3.35,3.23,3.33,1.57,1.2
13,0.05,0.05,0.02,0.02,0.09,0.04,0.14,0.05,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.22,3.29,,0.49,,1.88,,0.28,0.24,15.55,0.49,,,0.37,,,,,,,0.26,,,,0.82,2.38
14,0.02,0.02,0.01,0.01,0.04,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,1.33,,,,,,,0.21,0.26,,0.41,,,0.32,,,,14.57,0.43,,0.33,10.73,9.69,10.71,1.84,1.13
15,0.04,0.04,0.02,0.02,0.09,0.04,0.13,0.04,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,,,,,,,,0.12,0.16,,0.36,,,0.46,,,,,1.25,,0.33,,,,1.5,1.71
16,0.05,0.05,0.02,0.02,0.09,0.05,0.14,0.05,0.05,0.03,0.02,0.03,0.03,0.03,0.01,0.01,0.05,,,,,,,6.91,0.41,0.17,1.43,0.39,1.48,1.5,0.32,0.77,0.96,0.98,1.65,3.81,,0.29,3.04,2.99,3.13,1.95,1.73
17,0.04,0.04,0.02,0.01,0.07,0.04,0.1,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.45,0.82,0.72,0.46,,0.31,0.32,0.27,0.08,0.3,0.28,0.54,0.45,0.22,0.66,0.75,1.27,2.01,,,0.13,3.24,3.19,3.24,1.43,1.96
18,0.05,0.05,0.02,0.02,0.09,0.04,0.13,0.05,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.05,0.43,0.27,0.16,0.16,52.08,0.18,0.39,0.25,0.11,0.5,0.5,0.31,0.3,0.34,0.8,0.69,1.06,1.34,,,0.44,2.44,2.39,2.48,2.5,1.31
19,0.04,0.04,0.02,0.01,0.08,0.04,0.11,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.3,0.12,1.72,0.09,0.32,0.1,0.2,0.13,0.09,0.38,0.34,0.43,0.37,0.27,0.65,0.77,1.34,1.95,9.92,,0.2,4.4,4.2,4.45,1.31,1.62
20,0.01,0.01,0.01,,0.02,0.01,0.03,0.01,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.06,0.1,,0.07,0.02,0.12,0.25,0.09,0.12,0.56,0.28,0.97,1.26,0.52,1.95,1.3,1.78,1.96,8.74,,0.46,7.07,6.72,7.07,2.02,1.08
21,0.03,0.03,0.01,0.01,0.05,0.02,0.08,0.03,0.02,0.01,0.03,0.01,0.01,0.01,0.01,,0.01,0.17,0.16,1.54,0.29,0.19,0.49,0.66,0.23,0.2,,0.34,,,0.46,,,,,,,0.4,,,,1.44,1.91
22,0.03,0.03,0.01,0.01,0.05,0.02,0.08,0.03,0.02,0.01,0.02,0.01,0.01,0.01,,,0.01,0.29,0.45,,0.16,0.07,0.44,2.41,0.21,0.07,1.84,0.16,2.23,2.58,0.26,7.48,,27.84,,,,0.24,,,,1.47,1.22
23,0.02,0.02,0.01,0.01,0.03,0.01,0.05,0.02,0.01,,,,0.01,0.01,0.01,,0.02,0.23,1.04,0.87,1.09,0.1,,,0.23,0.13,,0.24,,,0.19,15.58,4.33,4.08,2.01,,,0.26,7.14,6.65,7.05,2.29,1.11
24,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.23,1.49,,0.98,0.19,0.92,0.88,0.3,0.15,0.92,0.38,0.57,0.59,0.39,0.91,0.89,1.07,1.61,,,0.43,3.53,3.43,3.46,1.6,1.3
25,0.02,0.02,0.01,0.01,0.03,0.01,0.05,0.02,,,0.02,,0.01,0.01,,,,0.92,0.76,,0.09,0.15,0.07,0.78,0.11,0.08,0.45,0.2,0.53,0.63,0.23,2.19,8.22,,,,,0.2,,,,1.56,2.0
