,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_45,MACD,Price_RoC_60,Signal_Line,Price_RoC_30,Expanding_Mean,Price_RoC_15,RSI,Price_RoC_12,RS,Price_RoC_10,Price_RoC_7,Price_RoC_5,Z_Score,Std_Dev_RoC_5,Price_RoC_3,Rolling_Std,Std_Dev_RoC_10,Price_Delta,Price_RoC,Log_Returns,Tan_Close,Gain,Loss,Cos_Close,Sin_Close
16,0.01,0.01,,,0.02,0.01,0.03,0.01,0.01,,,0.01,0.01,0.01,,,,,,,,,,,0.2,2.92,0.44,1.91,1.11,1.54,1.13,0.35,2.46,0.19,0.25,3.89,3.78,3.84,,1.38,1.63,,0.18
17,0.02,0.02,0.01,,0.04,0.02,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,,,,,,,0.48,0.09,0.58,0.22,0.63,1.15,1.35,1.5,0.28,2.26,0.23,0.07,6.21,6.04,6.32,1.49,1.79,1.91,,
18,0.04,0.04,0.02,0.01,0.08,0.04,0.12,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,,0.91,,1.47,0.83,,0.64,0.12,0.58,0.34,1.08,1.68,1.54,2.58,0.52,1.48,0.56,0.29,2.39,2.41,2.44,,1.21,1.91,,9.24
19,0.01,0.01,0.01,,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.04,0.02,0.02,0.02,0.01,,0.16,0.08,51.07,0.2,0.13,,0.22,0.05,0.47,0.19,0.76,1.03,1.82,0.99,0.37,5.61,0.46,0.15,15.31,13.98,15.45,,2.2,1.51,0.63,0.69
20,0.02,0.02,0.01,,0.04,0.02,0.06,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.11,0.11,0.32,0.09,0.11,,0.21,0.06,0.38,0.22,0.38,0.55,0.68,0.39,0.13,0.85,0.33,0.34,2.19,2.13,2.15,,1.16,2.22,,
21,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,0.2,0.33,0.05,0.15,0.56,,1.63,0.24,6.12,0.49,,,,,0.33,,0.29,0.29,,,,,2.14,0.81,,19.22
22,0.02,0.02,0.01,0.01,0.04,0.02,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,0.27,0.22,0.13,0.06,0.43,,1.75,0.11,1.3,0.27,1.29,1.32,1.51,1.53,0.49,4.61,0.22,0.28,16.1,13.48,15.49,2.17,1.34,1.75,,
23,0.02,0.02,0.01,,0.03,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,,0.03,0.56,,0.23,1.05,,,,0.11,,0.19,,,,,0.35,,0.35,0.33,,,,,1.14,1.49,,0.67
24,0.01,0.01,,,0.01,0.01,0.02,,,,,0.02,0.01,0.01,,,,1.16,1.18,0.44,3.57,2.16,,5.7,0.19,0.73,0.37,0.69,1.06,2.25,1.05,0.28,2.24,0.4,0.33,6.52,6.32,6.51,1.49,1.12,2.08,,
25,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.01,0.34,0.29,0.25,0.41,0.19,,0.26,0.06,0.2,0.19,0.17,0.21,0.17,0.3,0.25,0.56,0.19,0.07,1.71,1.71,1.71,,1.28,2.0,0.3,
