,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Price_RoC_60,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Expanding_Mean,RSI,Price_RoC_15,Price_RoC_12,Price_RoC_10,RS,Sin_Close,Price_RoC_7,Gain,Cos_Close,Std_Dev_RoC_10,Z_Score,Price_RoC_5,Price_RoC_3,Rolling_Std,Price_Delta,Price_RoC,Log_Returns,Std_Dev_RoC_5,Tan_Close,Loss
10,0.04,0.04,0.02,0.08,0.01,0.03,0.12,0.04,0.02,0.03,0.03,0.04,0.04,0.02,0.34,0.04,0.02,0.09,1.38,5.61,,,,0.21,,,,0.3,,,3.16,,0.47,,,,0.46,,,,0.43,2.48,0.74
11,0.03,0.03,0.01,0.05,0.01,0.03,0.08,0.03,0.04,0.04,0.04,0.04,0.04,0.04,,0.04,0.03,0.06,,,,,,0.41,,,,0.5,2.97,,1.42,,0.23,,,,0.33,,,,0.41,,1.31
12,0.04,0.04,0.02,0.08,0.02,0.04,0.13,0.04,0.03,0.01,0.01,0.02,0.02,0.02,,0.01,0.01,0.03,,,,,,0.14,2.2,1.06,0.81,0.32,,1.97,1.07,,0.24,2.46,5.57,12.05,0.2,27.31,18.1,26.19,0.49,1.0,2.34
13,0.04,0.04,0.02,0.07,0.01,0.04,0.1,0.04,0.03,0.03,0.03,0.04,0.04,0.03,,0.03,0.02,0.05,,,,,,0.41,,,,0.6,0.48,,1.66,,0.32,,,,0.25,,,,0.3,,1.14
14,0.02,0.02,0.01,0.05,0.01,0.02,0.07,0.02,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,0.24,,,152.6,0.48,0.28,3.22,1.27,,0.11,1.67,1.51,1.79,0.22,3.21,3.14,3.22,0.42,,1.69
15,0.03,0.03,0.02,0.06,0.01,0.02,0.09,0.03,0.02,0.02,0.02,0.03,0.03,0.04,,0.02,0.01,0.03,,,2.77,,,0.09,0.51,0.48,0.68,0.24,,1.49,2.31,,0.12,2.22,2.05,5.63,0.26,23.53,16.35,23.49,0.28,,1.63
16,0.05,0.05,0.03,0.11,0.02,0.06,0.16,0.06,0.06,0.05,0.04,0.04,0.04,0.03,1.81,0.03,0.03,0.07,0.88,0.58,0.48,0.41,,0.1,0.28,0.48,0.67,0.38,,0.53,0.82,,0.27,0.22,0.48,0.26,0.39,0.84,0.87,0.87,0.35,3.43,3.16
17,0.03,0.03,0.01,0.06,0.01,0.03,0.08,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.12,0.04,0.03,0.02,0.22,0.16,0.09,0.1,,0.08,0.19,0.3,0.33,1.33,,0.39,1.53,0.25,0.18,0.35,0.68,1.26,0.14,2.37,2.38,2.39,0.22,,1.48
18,0.06,0.06,0.03,0.12,0.02,0.06,0.18,0.06,0.06,0.05,0.05,0.05,0.05,0.03,0.36,0.04,0.04,0.08,0.15,0.14,0.16,0.21,,0.04,0.16,0.23,0.3,0.85,0.47,0.37,0.89,12.19,0.22,0.21,0.35,0.47,0.37,0.9,0.93,0.92,0.31,,3.16
19,0.03,0.03,0.02,0.06,0.01,0.04,0.09,0.03,0.05,0.05,0.05,0.05,0.05,0.07,0.12,0.06,0.05,0.04,0.08,0.1,0.07,0.11,0.01,0.08,0.17,0.25,0.24,1.03,,0.37,1.04,,0.3,0.37,0.64,0.95,0.16,2.06,1.97,2.01,0.31,1.35,2.37
20,0.03,0.03,0.01,0.06,0.01,0.02,0.09,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.06,0.01,0.02,0.01,0.09,0.13,0.22,0.15,0.01,0.22,0.96,2.47,,0.57,,,1.42,,0.17,,,38.93,0.35,inf,81.91,893728814603593.8,0.39,,1.42
21,0.04,0.04,0.02,0.07,0.01,0.03,0.11,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.15,0.01,,0.01,0.23,0.26,0.42,0.6,0.01,0.14,,,,0.26,,,1.62,,0.08,,,,0.1,,,,0.28,,1.48
22,0.14,0.14,0.07,0.25,0.05,0.06,0.33,0.18,0.03,0.03,0.03,0.02,0.02,0.11,0.52,0.01,0.01,0.06,0.98,0.43,2.64,,,0.3,,,,0.59,,,1.81,,0.61,,,,0.99,,,,1.03,,2.53
23,0.03,0.03,0.02,0.06,0.01,0.02,0.09,0.03,0.07,0.07,0.07,0.11,0.11,0.14,,0.08,0.05,0.22,,,,,,0.13,,,,0.16,,,1.65,2.58,0.34,,,,0.59,,,,0.61,10.81,1.42
24,0.04,0.04,0.02,0.09,0.02,0.03,0.14,0.04,0.02,0.01,0.01,0.01,0.01,0.01,,0.03,0.02,0.03,,,,,,0.38,,11.65,4.61,0.62,,2.31,1.15,1.72,0.4,1.39,1.25,1.08,0.33,1.99,1.97,2.0,0.45,,1.8
25,0.02,0.02,0.01,0.04,0.01,0.01,0.06,0.02,0.01,,,0.01,0.01,0.01,,0.01,,,,,,,,0.06,0.28,0.34,0.41,0.16,,0.77,2.0,0.28,0.1,1.45,1.56,,0.07,,,,0.33,,0.96
