,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Lower_Band,Long_EMA,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Price_RoC_15,RS,Price_RoC_12,RSI,Price_RoC_10,Price_RoC_7,Rolling_Std,Std_Dev_RoC_10,Price_RoC_5,Z_Score,Gain,Price_RoC_3,Sin_Close,Log_Returns,Price_RoC,Price_Delta,Std_Dev_RoC_5,Expanding_Mean,Tan_Close,Cos_Close,Loss
10,0.09,0.09,0.04,0.18,0.03,0.07,0.26,0.09,0.06,0.03,0.03,0.02,0.02,0.02,0.01,0.07,0.01,0.21,0.19,0.19,0.42,0.24,,0.37,,0.2,,,0.4,0.33,,,1.63,,2.5,,,,0.3,0.01,8.46,,1.11
11,0.03,0.03,0.01,0.05,0.01,0.03,0.08,0.03,0.03,0.04,0.04,0.06,0.06,0.1,0.06,0.02,0.02,0.21,0.19,2.38,,,,0.38,,0.28,,,0.55,0.38,,,1.21,,0.2,,,,0.61,,,,1.55
12,0.02,0.02,0.01,0.03,0.01,0.03,0.05,0.02,0.05,0.03,0.02,0.04,0.04,0.04,0.02,0.07,0.01,0.11,0.93,,,,0.99,0.39,0.41,0.12,0.3,0.58,0.33,0.25,0.83,0.44,1.49,1.2,,1.99,2.0,1.95,0.43,,,,1.81
13,0.05,0.05,0.03,0.1,0.02,0.05,0.15,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.05,0.01,0.34,,0.59,1.64,,2.4,0.98,15.25,0.38,,,0.57,0.25,,,1.41,,,,,,0.57,,,,1.13
14,0.11,0.11,0.06,0.22,0.03,0.09,0.33,0.11,0.08,0.05,0.04,0.03,0.03,0.03,0.03,0.09,0.02,,,,,20.02,,0.27,,0.15,,,0.33,0.23,,,1.57,,,,,,0.3,,,1.51,2.15
15,0.08,0.08,0.04,0.16,0.02,0.07,0.24,0.07,0.06,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.04,,,,,,,0.3,,0.2,,,0.29,0.17,,,1.41,,,,,,0.48,,2.71,8900.73,1.37
16,0.06,0.06,0.03,0.11,0.02,0.04,0.16,0.06,0.03,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.02,,,,,,,0.37,,0.25,,49.97,0.22,0.27,,,1.92,,,,,,0.62,,28.19,,1.74
17,0.03,0.03,0.01,0.06,0.01,0.03,0.09,0.03,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,,,,,,,0.26,,0.13,,,0.14,0.19,,,0.8,13.13,,5.8,5.15,5.97,0.21,,2.12,,2.02
18,0.05,0.05,0.02,0.1,0.02,0.04,0.15,0.05,0.04,0.03,0.03,0.02,0.02,0.04,0.02,0.01,0.01,,,,,29.86,1.18,0.3,0.76,0.13,0.82,0.84,0.21,0.03,0.77,0.52,1.23,0.61,,2.47,2.4,2.46,0.2,,,1.79,1.35
19,0.1,0.1,0.05,0.19,0.03,0.1,0.27,0.11,0.1,0.08,0.07,0.08,0.08,0.12,0.06,0.04,0.05,,0.82,0.81,0.53,0.35,0.4,0.26,0.34,0.07,0.46,0.46,0.39,0.18,0.76,0.55,1.35,1.54,,2.73,2.64,2.72,0.42,,,5.86,1.72
20,0.1,0.1,0.05,0.19,0.03,0.09,0.29,0.09,0.07,0.04,0.03,0.03,0.03,0.02,0.02,0.1,0.01,2.0,0.36,0.18,0.53,0.43,1.62,0.7,7.57,0.37,,,0.44,0.38,,,1.82,,,,,,0.6,,7.96,1.78,1.45
21,0.08,0.08,0.04,0.17,0.03,0.08,0.25,0.08,0.08,0.07,0.06,0.07,0.07,0.08,0.07,0.08,0.04,,4.64,,,,,0.43,,0.39,,,0.21,0.91,,,3.1,,,,,,0.29,,,,0.89
22,0.03,0.03,0.01,0.05,0.01,0.01,0.08,0.03,0.01,0.02,0.02,0.02,0.02,0.06,0.04,0.02,0.03,,,,,,,0.63,,0.38,,,0.59,0.39,,,1.34,,1.69,7.88,7.05,7.78,0.27,,,,1.24
23,0.15,0.15,0.08,0.27,0.06,0.08,0.35,0.19,0.04,0.04,0.03,0.02,0.02,0.05,0.01,0.1,0.02,,,,,,,0.33,,0.22,,,0.74,0.51,,,1.9,,,,,,0.78,,5.86,,1.59
24,0.06,0.06,0.03,0.13,0.02,0.04,0.19,0.06,0.05,0.05,0.05,0.1,0.1,0.18,0.07,0.11,0.05,,,,,,,0.19,,0.14,,,0.51,0.33,,,1.46,15.76,,1.87,1.86,1.89,0.45,,,1.61,3.16
25,0.07,0.07,0.04,0.15,0.03,0.04,0.21,0.08,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,,,,,,0.47,1.13,0.27,1.49,0.94,0.04,0.02,2.63,4.64,,,,,,,0.45,,3.85,1.05,0.78
