,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,Cos_Close,Price_RoC_15,Rolling_Std,RSI,Price_RoC_12,RS,Price_RoC_10,Std_Dev_RoC_10,Price_RoC_7,Sin_Close,Z_Score,Price_RoC_5,Price_RoC_3,Gain,Std_Dev_RoC_5,Price_Delta,Price_RoC,Log_Returns,Loss,Tan_Close
10,0.06,0.06,0.03,0.12,0.02,0.19,0.05,0.06,0.04,0.03,0.03,0.01,0.02,0.02,0.02,0.01,0.05,,0.79,81.55,,,,,,0.24,0.22,,0.41,,0.2,,,,,,2.69,0.28,,,,1.34,
11,0.02,0.02,0.01,0.04,0.01,0.06,0.01,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.01,,,,,,,,,0.33,0.27,,0.35,,0.17,,0.44,,,,1.0,0.25,,,,1.97,
12,0.08,0.08,0.04,0.17,0.03,0.26,0.08,0.08,0.06,0.05,0.04,0.09,0.04,0.04,0.03,0.02,0.02,,,,,5.71,,,1.02,0.61,0.21,0.81,0.74,0.79,0.4,0.68,,0.23,0.71,0.81,1.36,0.57,1.74,1.7,1.69,2.97,
13,0.04,0.04,0.02,0.09,0.01,0.14,0.05,0.04,0.05,0.02,0.02,0.03,0.02,0.02,0.02,,0.04,,4.83,0.24,0.67,,0.37,,0.88,0.24,0.22,3.62,0.5,,0.21,,,,,,3.32,0.91,,,,0.77,
14,0.02,0.02,0.01,0.05,0.01,0.07,0.01,0.02,0.01,,,0.01,0.01,0.01,0.02,,0.01,,,0.6,1.78,11.25,0.41,,,0.1,0.24,,0.41,393.79,0.28,1.9,,2.63,1.96,3.53,1.07,0.29,70.27,32.81,69.16,1.79,1.57
15,0.03,0.03,0.02,0.07,0.01,0.1,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,,,,,0.85,,,,0.07,0.13,,0.23,,0.12,,,,,,1.61,0.46,,,,1.19,12.63
16,0.05,0.05,0.03,0.1,0.02,0.15,0.05,0.05,0.05,0.03,0.02,0.04,0.02,0.02,0.01,0.01,0.02,,1.21,,,2.8,,,6.98,0.31,0.2,1.87,0.36,1.72,0.38,1.07,,1.18,1.28,1.22,1.06,0.51,2.46,2.31,2.38,1.91,
17,0.02,0.02,0.01,0.05,0.01,0.07,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.03,,0.16,0.55,0.27,2.08,0.45,0.43,0.29,0.1,0.09,0.46,0.25,0.47,0.19,0.58,,0.52,0.85,1.5,1.24,0.3,3.98,3.77,3.93,1.91,4.51
18,0.12,0.12,0.06,0.24,0.04,0.34,0.12,0.13,0.12,0.09,0.08,0.16,0.08,0.08,0.06,0.06,0.08,0.01,0.29,0.42,0.44,0.41,0.47,0.72,0.54,0.66,0.1,0.45,0.53,0.58,0.5,0.71,,0.52,0.91,1.56,1.96,0.6,2.84,2.67,2.69,2.15,1.88
19,0.02,0.02,0.01,0.05,0.01,0.07,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.05,0.04,0.09,0.01,0.14,0.07,0.05,0.14,0.14,0.19,0.37,0.57,0.17,0.73,0.4,0.9,0.25,1.35,4.33,0.86,1.74,1.99,1.16,0.62,8.04,7.15,7.91,2.93,3.45
20,0.06,0.06,0.03,0.12,0.02,0.18,0.05,0.06,0.05,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.06,,0.21,0.24,0.5,0.18,0.32,105.55,,0.49,0.37,,0.72,,0.33,,,,,,2.05,0.47,,,,1.28,9.63
21,0.03,0.03,0.01,0.06,0.01,0.09,0.02,0.03,0.01,0.01,0.01,0.04,0.02,0.02,0.03,0.01,0.01,,0.17,0.96,,0.11,6.76,,,0.4,0.47,,0.69,,0.41,,,,38.87,6.5,1.93,0.4,54.87,33.24,54.6,1.48,2.36
22,0.03,0.03,0.01,0.05,0.01,0.08,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,,0.2,2.21,1.67,0.69,,,0.87,0.21,0.08,0.77,0.18,1.14,0.21,1.86,,1.9,2.5,7.11,1.28,0.56,4.51,4.28,4.53,1.77,2.1
23,0.06,0.06,0.03,0.11,0.02,0.17,0.04,0.06,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,,0.27,0.33,0.38,12.31,0.86,1.96,1.06,0.1,0.13,0.87,0.3,1.06,0.09,3.23,,6.78,9.49,,1.62,0.32,,,,1.28,5.0
24,0.02,0.02,0.01,0.04,0.01,0.05,0.01,0.02,0.01,0.01,0.01,0.04,0.02,0.02,0.01,,0.01,,3.51,0.81,,,0.98,,,0.5,0.22,,0.4,,0.31,,,,,8.2,1.3,0.38,17.88,14.9,18.13,1.93,
25,0.04,0.04,0.02,0.07,0.01,0.1,0.01,0.04,0.01,0.01,,0.01,,,,,0.01,,,,10.15,0.6,1.24,2.06,5.17,0.18,0.15,2.53,0.33,3.39,0.05,0.53,,1.79,1.69,3.18,1.17,0.25,,,,1.72,
