,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,Close_Squared,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Close_Inverse,Long_EMA,Close_Cubed,Lower_Band,Expanding_Mean,Rolling_Std,MACD,Signal_Line,Price_RoC_60,Price_RoC_30,Price_RoC_15,Price_RoC_12,Price_RoC_45,Price_RoC_10,RSI,Price_RoC_7,Std_Dev_RoC_5,Gain,Std_Dev_RoC_10,RS,Price_RoC_5,Price_RoC_3,Sin_Close,Z_Score,Price_Delta,Price_RoC,Log_Returns,Loss,Tan_Close,Cos_Close
10,0.1,0.1,0.05,0.07,0.04,0.02,0.2,0.03,0.08,0.03,0.02,0.02,0.01,0.09,0.01,0.31,0.06,0.01,0.96,1.68,0.52,0.37,2.42,3.79,3.03,0.51,2.37,0.35,2.13,0.92,2.5,0.9,0.88,2.13,1.91,,13.82,3.48,3.5,3.57,1.46,4.91,
11,0.02,0.02,0.01,0.01,0.02,0.01,0.05,0.03,0.03,0.03,0.05,0.05,0.05,0.02,0.03,0.07,0.14,0.01,0.61,0.06,0.26,0.12,0.1,0.16,0.38,0.2,0.69,0.05,1.23,0.72,1.28,0.26,0.19,1.93,3.6,,0.71,7.57,6.96,7.67,2.04,18.59,
12,0.03,0.03,0.01,0.03,0.04,0.01,0.05,0.03,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.07,0.04,0.01,0.19,0.07,0.09,0.08,0.08,0.45,0.34,0.12,0.33,0.12,0.41,0.23,0.88,0.36,0.67,0.46,0.96,,0.37,1.81,1.75,1.77,1.71,,
13,0.08,0.08,0.04,0.08,0.07,0.02,0.16,0.04,0.03,0.03,0.03,0.03,0.02,0.08,0.01,0.24,0.1,0.01,0.69,0.88,0.33,0.49,1.2,,,0.32,,0.51,,0.62,1.67,0.42,0.93,,,,,,,,1.52,2.34,
14,0.05,0.05,0.02,0.04,0.04,0.01,0.09,0.03,0.05,0.03,0.04,0.04,0.05,0.05,0.02,0.14,0.03,,0.29,,,0.59,,,,0.65,,0.39,,0.3,1.73,0.43,0.58,,,1.94,,,,,1.46,5.67,21.5
15,0.03,0.03,0.02,0.02,0.01,0.01,0.06,0.01,0.01,0.01,0.02,0.02,,0.03,,0.09,0.03,,0.15,,,0.2,,5.44,3.29,,1.88,0.12,2.49,0.58,1.31,0.15,0.26,4.07,,,5.18,57.07,29.88,54.57,1.63,2.0,23.91
16,0.06,0.06,0.03,0.05,0.04,0.01,0.11,0.02,0.03,0.02,0.01,0.01,0.01,0.06,0.01,0.17,0.02,,0.23,,,3.85,,4.08,9.23,,8.83,0.12,2.29,0.42,1.31,0.13,0.23,2.5,2.87,1.19,3.99,4.88,4.56,4.92,1.63,,
17,0.03,0.03,0.02,0.04,0.04,0.01,0.06,0.02,0.03,0.02,0.02,0.02,0.01,0.03,0.01,0.09,0.03,,0.16,,,,,,,,,0.12,,0.34,2.22,0.18,0.24,,,24.41,,,,,1.07,9.57,
18,0.02,0.02,0.01,0.02,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.07,0.01,,0.13,,,,,,,,,0.22,,0.41,2.6,0.15,0.37,,,1.11,,,,,1.12,,4.11
19,0.02,0.02,0.01,0.01,0.01,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.05,0.01,,0.1,,,,,,,,,0.13,,0.15,1.77,0.12,0.23,,,,,,,,1.11,,0.49
20,0.03,0.03,0.02,0.04,0.04,0.01,0.07,0.03,0.05,0.03,0.04,0.04,0.02,0.03,0.02,0.1,0.04,,0.27,1.19,,1.47,1.0,0.46,0.33,1.27,0.36,0.08,0.53,0.22,1.21,0.2,0.23,0.81,0.95,30.25,0.45,2.85,2.63,2.76,2.33,,5.81
21,0.07,0.07,0.03,0.05,0.03,0.02,0.13,0.02,0.02,0.02,0.01,0.01,0.02,0.07,0.01,0.19,0.04,,0.37,0.46,0.18,3.1,0.7,1.54,2.5,1.41,6.89,0.26,,0.46,1.55,0.36,0.53,,,2.42,,,,,2.54,,
22,0.05,0.05,0.03,0.04,0.03,0.01,0.11,0.02,0.06,0.02,0.03,0.03,0.02,0.05,0.01,0.16,0.02,,0.43,,21.72,,0.82,,,2.79,,0.41,,0.43,1.18,0.28,1.04,4.73,2.31,1.45,6.37,2.55,2.61,2.67,1.44,,
23,0.04,0.04,0.02,0.03,0.04,0.01,0.07,0.04,0.03,0.04,0.05,0.05,0.04,0.04,0.02,0.11,0.07,,0.18,0.42,0.78,0.31,0.39,0.29,0.34,0.28,0.37,0.07,0.38,0.42,1.21,0.29,0.33,0.53,1.24,1.68,0.37,2.95,2.82,2.91,2.09,,7.24
24,0.12,0.12,0.06,0.12,0.12,0.03,0.23,0.1,0.15,0.09,0.09,0.09,0.07,0.13,0.07,0.33,0.06,0.01,0.52,0.4,0.4,0.34,0.58,0.27,0.38,0.24,0.41,0.03,0.54,0.53,1.61,0.32,0.2,0.61,0.83,,0.31,1.92,1.93,1.91,2.38,,3.57
25,0.05,0.05,0.03,0.03,0.02,0.01,0.1,0.03,0.01,0.03,0.03,0.03,0.03,0.05,0.03,0.15,0.09,,0.29,0.05,0.07,0.1,0.15,0.23,0.14,0.1,0.38,0.05,0.47,0.45,1.16,0.23,0.23,1.09,1.34,,0.57,4.32,4.04,4.37,1.18,,
