,Close,Cumulative_Returns,Moving_Average_3,Moving_Average_5,Square_Root_Close,Upper_Band,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Log_Close,Long_EMA,Close_Squared,Lower_Band,Expanding_Mean,Close_Inverse,Close_Cubed,Rolling_Std,MACD,Signal_Line,Gain,Loss,Price_RoC_15,Price_RoC_12,Price_RoC_10,Price_RoC_30,Std_Dev_RoC_10,Price_Delta,Price_RoC_7,Sin_Close,Std_Dev_RoC_5,Price_RoC_60,Price_RoC_5,Cos_Close,RSI,Z_Score,RS,Price_RoC_3,Price_RoC,Log_Returns,Tan_Close,Price_RoC_45
14,0.01,0.01,0.01,0.01,0.01,0.02,,,0.01,0.01,0.01,,,0.03,0.03,0.01,0.01,0.04,0.49,0.14,0.36,1.28,1.63,,,13.76,4.06,0.28,69.3,0.92,0.63,0.71,0.14,1.13,,0.19,1.43,0.38,2.54,41.74,68.65,,0.1
15,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.06,0.03,0.01,0.03,0.09,0.19,,,1.55,1.42,,,,,0.13,,,4.95,0.55,0.35,,0.99,0.24,,0.38,,,,,
16,0.06,0.06,0.05,0.04,0.03,0.04,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.12,0.01,0.01,0.06,0.18,0.35,,,1.44,1.79,,4.75,2.67,,0.51,1.9,1.51,21.16,0.39,0.87,1.14,6.57,0.3,1.39,0.6,0.9,1.85,1.85,,
17,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.07,0.02,0.01,0.03,0.1,0.14,0.48,0.43,1.5,1.34,0.27,1.15,1.89,,0.16,,,1.43,0.26,,,,0.1,,0.32,,,,3.18,
18,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.02,0.01,0.02,0.08,0.28,,,1.42,1.26,,,,,0.48,,,313.53,0.41,,,0.55,0.22,,0.35,,,,,
19,0.07,0.07,0.06,0.06,0.03,0.07,0.04,0.03,0.03,0.03,0.01,0.02,0.01,0.13,0.02,0.01,0.07,0.2,0.56,297.79,,1.27,1.62,2.4,1.8,1.47,0.68,0.63,3.44,1.03,,0.41,8.63,0.99,4.23,0.27,1.23,0.56,1.28,3.19,3.32,,6.0
20,0.03,0.03,0.03,0.03,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.01,,0.05,0.02,0.01,0.03,0.08,0.24,1.01,0.32,2.4,1.2,0.86,8.45,,,0.24,,,0.58,0.81,,,,0.15,,0.33,,,,,0.3
21,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.07,0.02,0.01,0.03,0.1,0.13,0.61,0.52,0.97,1.69,2.74,1.26,0.74,0.51,0.15,3.44,0.37,,0.32,0.61,0.55,,0.24,0.41,0.51,0.69,3.19,3.35,35.78,1.18
22,0.05,0.05,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.1,0.01,0.01,0.05,0.15,0.17,0.19,0.13,1.61,1.92,0.52,0.73,0.9,0.7,0.19,7.74,1.62,3.03,0.35,0.46,2.18,,0.12,2.0,0.32,3.67,6.71,7.88,,0.5
23,0.11,0.11,0.1,0.09,0.06,0.12,0.07,0.07,0.07,0.07,0.05,0.03,0.05,0.22,0.03,0.01,0.11,0.31,0.42,0.41,0.35,2.09,1.49,0.61,0.77,0.66,0.49,0.42,3.7,0.55,1.45,0.41,0.52,1.07,,0.13,0.73,0.37,1.98,3.49,3.62,,0.36
24,0.03,0.03,0.03,0.03,0.01,0.02,0.03,0.04,0.04,0.04,0.05,0.01,0.04,0.06,0.09,0.01,0.03,0.09,0.53,0.02,0.09,0.94,2.14,0.28,0.56,0.65,0.07,0.19,2.59,1.0,,0.76,0.12,0.76,4.76,0.08,0.41,0.23,0.69,2.52,2.61,2.65,0.22
25,0.03,0.03,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.02,,0.03,0.07,0.19,0.04,0.02,1.18,2.0,0.76,0.29,0.86,0.25,0.37,,2.17,,0.35,0.05,,4.56,0.06,3.28,0.14,,,,1.65,0.03
